Ticker,PANW
CDNS,0.9586078736277764
SNPS,0.9413180464107876
AVGO,0.9409758795167036
TTWO,0.9390177909161557
NOW,0.9341038756257984
META,0.928848923305137
FAST,0.9265013463181028
CPRT,0.926455694455892
LRCX,0.9257993575828601
UBER,0.9255531015161
MSFT,0.9246066769921109
TDG,0.9224233154123891
GE,0.9193165347060869
NVDA,0.9183692070618469
CRWD,0.9180844394344178
CRM,0.9161366614172696
FICO,0.9129892161172678
PHM,0.9129583850613936
AMAT,0.9124773484937356
CTAS,0.9115808999885223
LIN,0.9113754648135535
RSG,0.9108129345699086
PCAR,0.908761453270664
AMZN,0.9046716437088211
ADBE,0.9031040905932696
